,総合評価,待遇面の満足度,社員の士気,風通しの良さ,社員の相互尊重,20代成長環境,人材の長期育成,法令順守意識,人事評価の適正感,残業時間（月間）,有給休暇消化率
0,1,1,1,2,1,1,1,1,1,0,0
1,1,1,1,2,2,1,1,1,1,0,0
2,1,1,1,2,2,1,1,2,1,0,0
3,1,1,1,2,2,1,1,2,1,0,0
4,2,2,1,2,2,2,1,2,1,0,0
5,2,2,1,2,2,2,1,2,1,0,0
6,2,2,1,2,2,2,1,2,1,0,20
7,2,2,1,2,2,2,1,2,1,0,20
8,2,2,1,2,2,2,1,2,1,0,20
9,2,2,2,2,2,2,1,2,1,0,20
10,2,2,2,2,2,2,2,2,1,0,20
11,2,2,2,2,2,2,2,2,2,0,20
12,2,2,2,2,2,2,2,2,2,20,20
13,2,2,2,2,2,2,2,2,2,20,20
14,2,2,2,2,2,2,2,2,2,20,40
15,2,2,2,3,2,2,2,3,2,20,40
16,2,2,2,3,2,2,2,3,2,20,40
17,2,2,2,3,2,2,2,3,2,20,40
18,2,2,2,3,2,2,2,3,2,20,40
19,2,2,2,3,2,2,2,3,2,20,40
20,2,2,2,3,2,2,2,3,2,20,40
21,2,2,2,3,2,2,2,3,2,20,40
22,2,2,2,3,2,3,2,3,2,20,40
23,2,2,2,3,3,3,2,3,2,20,40
24,2,2,2,3,3,3,2,3,2,20,40
25,2,2,2,3,3,3,2,3,2,20,40
26,2,2,2,3,3,3,2,3,2,20,60
27,2,2,3,3,3,3,2,3,2,20,60
28,2,2,3,3,3,3,2,3,2,20,60
29,2,2,3,3,3,3,2,3,3,20,60
30,2,2,3,3,3,3,2,3,3,20,60
31,2,2,3,3,3,3,2,3,3,20,60
32,2,2,3,3,3,3,2,3,3,20,60
33,2,2,3,3,3,3,2,3,3,20,60
34,2,2,3,3,3,3,2,3,3,20,60
35,2,2,3,3,3,3,2,3,3,20,60
36,2,2,3,3,3,3,2,4,3,20,60
37,2,3,3,3,3,3,2,4,3,20,80
38,2,3,3,3,3,3,2,4,3,20,80
39,2,3,3,3,3,3,2,4,3,20,80
40,2,3,3,3,3,3,2,4,3,20,80
41,3,3,3,3,3,3,2,4,3,40,80
42,3,3,3,3,3,3,3,4,3,40,80
43,3,3,3,4,3,3,3,4,3,40,80
44,3,3,3,4,3,3,3,4,3,40,80
45,3,3,3,4,4,3,3,4,3,40,80
46,3,3,3,4,4,3,3,4,3,40,80
47,3,3,3,4,4,4,3,4,3,40,80
48,3,3,3,4,4,4,3,4,3,40,80
49,3,3,3,4,4,4,3,4,4,40,80
50,3,3,3,4,4,4,3,4,4,40,80
51,3,3,3,4,4,4,3,4,4,40,80
52,3,3,4,4,4,4,4,5,4,40,80
53,3,3,4,4,4,4,4,5,4,60,80
54,3,3,4,5,4,4,4,5,4,60,80
55,4,4,5,5,5,4,4,5,4,80,80
